UC3;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2000300;50th Factory;T98705;2;1920;1970;general_equipment;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000301;Chengdu arsenal;T_Chengdu arsenal;3;1900;1947;general_equipment;training;munitions;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000302;Chongqing Weapon Repair Office;T_Sichuan Armory1;3;1929;1970;technical_efficiency;artillery;munitions;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000303;Chuankang Appeasement Director Bullet Factory;T_Sichuan Armory2;2;1926;1970;technical_efficiency;general_equipment;munitions;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000304;Sichuan University;T_Sichuan University;4;1896;1970;industrial_engineering;management;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000305;Huaxi Machinery Factory ;T_Huaxi Machinery Factory;2;1922;1970;munitions;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000306;Hu Ziang;T_Hu Ziang;4;1922;1970;management;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000307;West China Union University;T_WCUU;4;1906;1970;mathematics;management;medicine;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000308;Liu Wenhui;T_Liu Wenhui;3;1921;1976;training;general_equipment;individual_courage;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000309;Ren Naiqiang;T_Ren Naiqiang;3;1921;1989;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000310;Southwest University;100733;1;1906;1926;mathematics;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000311;Southwest University;100733;2;1926;1945;mathematics;chemistry;medicine;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2000312;Southwest University;100733;4;1945;1999;mathematics;chemistry;medicine;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
