U72;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1175001;Head of State;Ho Chi Minh;1930;1969;1969;LE;Ruthless Powermonger;High;6663;X
1175002;Head of State;Pham Van Dong;1960;1970;1999;LE;Pig-headed Isolationist;High;M_Pham Van Dong;X
1175003;Head of State;Ton Duc Thang;1954;1980;9999;LE;Barking Buffoon;High;6884;X
1175004;Head of Government;Ho Chi Minh;1927;1969;1969;LE;Silent Workhorse;High;6663;X
1175005;Head of Government;Pham Van Dong;1933;1990;2000;LE;Silent Workhorse;High;M_Pham Van Dong;X
1175006;Head of Government;Vo Nguyen Giap;1950;1992;2013;LE;Political Protege;High;6664;X
1175007;Head of Government;Le Duan;1933;1987;1987;LE;Backroom Backstabber;High;6862;X
1175008;Head of Government;Truong Chinh;1933;1988;1988;ST;Flamboyant Tough Guy;High;6861;X
1175009;Head of Government;Huynh Thuc Khang;1920;1948;1948;SD;Political Protege;High;6882;X
1175010;Head of Government;Hoang Minh Chinh;1947;2008;2008;LWR;Naive Optimist;High;M_Hoang Minh Chinh;X
1175011;Head of Government;Ton Duc Thang;1954;1980;1980;LE;Ambitious Union Boss;High;6884;X
1175012;Foreign Minister;Ho Chi Minh;1927;1969;1969;LE;Great Compromiser;High;6663;X
1175013;Foreign Minister;Nguyen Tuong Tam;1930;1963;1963;SL;Apologetic Clerk;High;M_Nhat Linh;X
1175014;Foreign Minister;Hoang Minh Giam;1933;1981;1995;LWR;The Cloak N Dagger Schemer;High;6866;X
1175015;Foreign Minister;Pham Van Dong;1933;1990;2000;LE;Iron Fisted Brute;High;M_Pham Van Dong;X
1175016;Foreign Minister;Ung Van Khiem;1936;1991;1991;LE;Great Compromiser;High;6871;X
1175017;Foreign Minister;Xuan Thuy;1933;1985;1985;LE;Iron Fisted Brute;High;6872;X
1175018;Foreign Minister;Nguyen Duy Trinh;1936;1985;1985;LE;Biased Intellectual;High;6873;X
1175019;Foreign Minister;Hoang Van Hoan;1933;1991;1991;ST;Ideological Crusader;High;M_Hoang Van Hoan;X
1175020;Foreign Minister;Duong Bach Mai;1933;1964;1964;LE;Biased Intellectual;High;M_Duong Bach Mai;X
1175021;Foreign Minister;Tran Van Giau;1933;1975;2010;LE;The Cloak N Dagger Schemer;High;M_Tran Van Giau;X
1175022;Foreign Minister;Duong Duc Hien;1940;1963;1963;SD;Apologetic Clerk;High;6854;X
