U65;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
2500700;Head of State;Liu Wenhui;1920;1977;1977;PA;Resigned Generalissimo;Medium;L50218;X
2500701;Head of Government;Liu Wenhui;1920;1977;1977;PA;Old General;Medium;L50218;X
2500702;Chief of Army;Liu Wenhui;1920;1977;1977;PA;Guns and Butter Doctrine;Medium;L50218;X
2500703;Head of Government;Du Luqian;1931;1964;1964;PA;Silent Workhorse;Medium;M_Du Luqian;X
2500704;Foreign Minister;Ren Naiqiang;1920;1990;1990;PA;Biased Intellectual;Medium;M_Ren Naiqiang;X
2500705;Minister of Security;Duan Banji;1933;1954;1954;PA;Compassionate Gentleman;Medium;M_Duan Banji;X
2500706;Foreign Minister;Leng Yindong;1914;1935;1983;PA;General Staffer;Medium;M_Leng Yindong;X
2500707;Foreign Minister;He Guoguang;1933;1970;1970;PA;Apologetic Clerk;Medium;M_He Guoguang;X
2500708;Chief of Staff;Lin Yungen;1916;1950;1950;PA;School of Fire Support;Medium;unknownleader;X
2500709;Chief of Staff;Liu Wenhui;1920;1977;1977;PA;School of Manoeuvre;Medium;L50218;X
2500710;Minister of Armament;Ren Naiqiang;1920;1990;1990;SC;Resource Industrialist;Medium;M_Ren Naiqiang;X
2500711;Head of Military Intelligence;He Guoguang;1933;1970;1970;PA;Logistics Specialist;Medium;M_He Guoguang;X
2500712;Minister of Armament;Deng Xiuting;1920;1945;1945;PA;Military Entrepreneur;Medium;M_Deng Xiuting;X
2500713;Chief of Staff;Deng Xiuting;1920;1945;1945;PA;School of Defence;Medium;M_Deng Xiuting;X
2500714;Head of Military Intelligence;Leng Yindong;1920;1935;1983;PA;Double Agent;Medium;M_Leng Yindong;X
2500715;Minister of Armament;Xia Shouxun;1920;1980;1980;SC;Resource Industrialist;Medium;M_Xia Shouxun;X
2500716;Chief of Staff;Xia Shouxun;1920;1935;1983;SC;School of Fire Support;Medium;M_Xia Shouxun;X
2500717;Chief of Staff;Deng Guozhang;1923;1951;1951;PA;Technical Specialist;Medium;M_Deng Guozhang;X
2500718;Minister of Security;Wang Jingyu;1930;1972;1972;PA;Crime Fighter;Medium;M_Wang Jingyu;X
2500719;Head of Military Intelligence;Wang Jingyu;1927;1935;1983;PA;Political Specialist;Medium;M_Wang Jingyu;X
2500720;Chief of Staff;Wang Jingyu;1927;1935;1983;PA;School of Psychology;Medium;M_Wang Jingyu;X
2500721;Minister of Security;Xiang Chuanyi;1927;1956;1956;PA;Compassionate Gentleman;Medium;M_Xiang Chuanyi;X
2500722;Head of Military Intelligence;Wang Yunxiang;1920;1935;1983;PA;Technical Specialist;Medium;M_Wang Yunxiang;X
2500723;Chief of Staff;Wang Yunxiang;1920;1955;1958;PA;School of Mass Combat;Medium;M_Wang Yunxiang;X
2500724;Head of Government;Zhang Weijiong;1920;1972;1972;SC;Ambitious Union Boss;Medium;M_Zhang Weijiong;X
2500725;Minister of Security;Zhang Weijiong;1920;1972;1972;SC;Compassionate Gentleman;Medium;M_Zhang Weijiong;X
2500726;Head of Military Intelligence;Zhang Weijiong;1920;1972;1972;SC;Technical Specialist;Medium;M_Zhang Weijiong;X
2500727;Foreign Minister;Leng Jiesheng;1926;1943;1943;SC;Apologetic Clerk;Medium;M_Leng Jiesheng;X
2500728;Minister of Armament;Leng Jiesheng;1926;1943;1943;SC;Resource Industrialist;Medium;M_Leng Jiesheng;X
2500729;Minister of Security;Liu Wencai;1923;1950;1950;PA;Crooked Kleptocrat;Medium;M_Liu Wencai;X
2500730;Minister of Armament;Liu Wencai;1923;1950;1950;PA;Corrupt Kleptocrat;Medium;M_Liu Wencai;X
2500731;Head of State;Liu Chengxun;1914;1933;1944;PA;Powerhungry Demagogue;Medium;M_Liu Chengxun;X
2500732;Chief of Army;Liu Chengxun;1914;1933;1944;PA;Static Defence Doctrine;Medium;M_Liu Chengxun;X
2500733;Chief of Staff;Liu Chengxun;1914;1933;1944;PA;School of Psychology;Medium;M_Liu Chengxun;X
2500734;Head of State;Chen Xialing;1914;1933;1950;PA;Pig-headed Isolationist;Medium;M_Chen Xialing;X
2500735;Chief of Army;Chen Xialing;1914;1933;1950;PA;Decisive Battle Doctrine;Medium;M_Chen Xialing;X
2500736;Chief of Staff;Chen Xialing;1914;1933;1950;PA;School of Psychology;Medium;M_Chen Xialing;X
2500737;Head of Government;Liu Chengxun;1914;1933;1943;PA;Ambitious Union Boss;Medium;M_Liu Chengxun;X
