U64;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
2500400;Head of State;Song Zheyuan;1928;1941;1999;PA;Insignificant Layman;Medium;9594;X
2500401;Head of Government;Song Zheyuan;1928;1941;1999;PA;Old General;Medium;9594;X
2500402;Chief of Army;Song Zheyuan;1928;1941;1999;PA;Elastic Defence Doctrine;Medium;9594;X
2500403;Chief of Air Force;Song Zheyuan;1928;1941;1999;PA;Army Aviation Doctrine;Medium;9594;X
2500404;Chief of Army;Wan Fulin;1933;1964;1999;PA;Static Defense Supporter;Medium;M_WanFulin;X
2500405;Chief of Staff;Wan Fulin;1933;1964;1999;PA;School of Defence;Medium;M_WanFulin;X
2500406;Foreign Minister;Jia Deyao;1932;1941;1941;PA;Apologetic Clerk;Medium;9509;X
2500407;Head of Military Intelligence;Hu Yukun;1928;1964;1999;PA;Double Agent;Medium;M_Hu Yukun;X
2500408;Minister of Armament;Xiao Zhenying;1928;1948;1948;PA;Infantry Proponent;Medium;M_Xiao Zhenying;X
2500409;Head of Government;Qin Dechun;1928;1964;1964;PA;Political Protege;Medium;L50293;X
2500410;Chief of Staff;Qin Dechun;1928;1964;1964;PA;School of Mass Combat;Medium;L50293;X
2500411;Head of Military Intelligence;Qin Dechun;1928;1964;1964;PA;Political Specialist;Medium;L50293;X
2500412;Foreign Minister;Qin Dechun;1928;1964;1964;PA;General Staffer;Medium;L50293;X
2500413;Head of Government;Zhang Zizhong;1928;1941;1999;PA;Flamboyant Tough Guy;Medium;L50016;X
2500414;Minister of Security;Zhang Zizhong;1928;1941;1999;PA;Man of the People;Medium;L50016;X
2500415;Chief of Staff;Zhang Zizhong;1928;1941;1999;PA;School of Mass Combat;Medium;L50016;X
2500416;Minister of Security;Cheng Ke;1933;1937;1937;PA;Silent Lawyer;Medium;M_Cheng Ke;X
2500417;Minister of Armament;Zhou Zuomin;1935;1956;1956;PA;Laissez-Faire Capitalist;Medium;M_Zhou Zuomin;X
2500418;Minister of Armament;Men Zhizhong;1933;1964;1964;PA;Steel Magnate;Medium;M_Men Zhizhong;X
2500419;Chief of Staff;Shi Jingting;1934;1970;1970;PA;School of Fire Support;Medium;L50258;X
2500420;Minister of Security;Tang Erho;1935;1941;1941;FA;Back Stabber;Medium;M_Tang Erho;X
2500421;Minister of Security;Ge Dingyuan;1928;1978;1978;PA;Crime Fighter;Medium;M_Ge Dingyuan;X
2500422;Head of Military Intelligence;Ge Dingyuan;1928;1978;1978;PA;Political Specialist;Medium;M_Ge Dingyuan;X
2500423;Chief of Staff;Liu Ruming;1930;1976;1976;PA;School of Manoeuvre;Medium;L50209;X
2500424;Chief of Army;Liu Ruming;1932;1976;1999;PA;Elastic Defence Doctrine;Medium;L50209;X
2500425;Minister of Armament;Feng Zhian;1928;1955;1955;PA;Military Entrepreneur;Medium;M_Feng Zhian;X
2500426;Chief of Army;Feng Zhian;1935;1955;1955;PA;Guns and Butter Doctrine;Medium;M_Feng Zhian;X
2500427;Chief of Staff;Feng Zhian;1928;1955;1955;PA;School of Psychology;Medium;M_Feng Zhian;X
2500428;Minister of Security;He Qigong;1928;1981;1981;PA;Silent Lawyer;Medium;M_He Qigong;X
2500429;Minister of Armament;Li Sihao;1935;1968;1968;PA;Laissez-Faire Capitalist;Medium;9504;X
2500430;Chief of Staff;Zhang Weifan;1927;1963;1963;PA;School of Psychology;Medium;M_Zhang Weifan;X
2500431;Minister of Security;Zhang Shizhao;1937;1974;1974;SC;Silent Lawyer;Medium;M_Zhang Shizhao;X
2500432;Head of State;Feng Yuxiang;1928;1947;1947;PA;Resigned Generalissimo;Medium;9303;X
2500433;Head of Government;Fang Zhenwu;1930;1942;1942;PA;Flamboyant Tough Guy;Medium;M_Fang Zhenwu;X
