U66;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
2500500;Head of State;Liu Xiang;1921;1939;1939;PA;Stern Imperialist;Medium;8060;X
2500501;Head of Government;Liu Xiang;1919;1939;1939;PA;Old General;Medium;8060;X
2500502;Chief of Army;Liu Xiang;1917;1939;1939;PA;Elastic Defence Doctrine;Medium;8060;X
2500503;Head of Government;Deng Xihou;1923;1964;1964;PA;Ambitious Union Boss;Medium;M_Deng Xihou;X
2500504;Chief of Staff;Deng Xihou;1917;1964;1964;PA;School of Mass Combat;Medium;M_Deng Xihou;X
2500505;Foreign Minister;Dan Maoxin;1906;1966;1966;SC;Biased Intellectual;Medium;M_Dan Maoxin;X
2500506;Foreign Minister;Fu Chang;1920;1948;1948;PA;The Cloak N Dagger Schemer;Medium;M_Fu Chang;X
2500507;Foreign Minister;Li Jiayu;1923;1945;1945;PA;General Staffer;Medium;M_Li Jiayu;X
2500508;Minister of Armament;Tian Songyao;1918;1948;1948;PA;Infantry Proponent;Medium;M_Tian Songyao;X
2500509;Chief of Staff;Tian Songyao;1915;1948;1948;PA;School of Manoeuvre;Medium;M_Tian Songyao;X
2500510;Minister of Armament;Liu Hangchen;1925;1976;1976;PA;Keynesian Economy;Medium;M_Liu Hangchen;X
2500511;Minister of Armament;Yang Cansan;1924;1933;1999;SC;Laissez-Faire Capitalist;Medium;M_Yang Cansan;X
2500512;Minister of Security;Wang Lingji;1922;1967;1967;PA;Prince of Terror;Medium;M_Wang Lingji;X
2500513;Minister of Security;Li Jiayu;1923;1945;1945;PA;Compassionate Gentleman;Medium;M_Li Jiayu;X
2500514;Chief of Staff;Fu Chang;1917;1948;1948;PA;School of Mass Combat;Medium;M_Fu Chang;X
2500515;Head of Military Intelligence;Wang Lingji;1914;1933;1999;PA;Logistics Specialist;Medium;M_Wang Lingji;X
2500516;Head of Military Intelligence;Liu Congyun;1920;1957;1957;PA;Dismal Enigma;Medium;M_Liu Congyun;X
2500517;Chief of Army;Fu Chang;1920;1948;1948;PA;Decisive Battle Doctrine;Medium;M_Fu Chang;X
2500518;Chief of Staff;Guo Xunqi;1920;1960;1960;SC;School of Fire Support;Medium;M_Guo Xunqi;X
2500519;Chief of Staff;Tang Shizun;1914;1951;1951;PA;School of Psychology;Medium;M_Tang Shizun;X
2500520;Chief of Navy;Jiang Kui;1921;1984;1984;PA;Decisive Naval Battle Doctrine;Medium;M_Jiang Kui;X
2500521;Chief of Air Force;Jiang Kui;1921;1984;1984;PA;Naval Aviation Doctrine;Medium;M_Jiang Kui;X
2500522;Head of State;Deng Xihou;1933;1939;1939;PA;Stern Imperialist;Medium;M_Deng Xihou;X
2500523;Head of Government;Tian Songyao;1933;1939;1939;PA;Old General;Medium;M_Tian Songyao;X
