U87;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1250001;Head of State;Wang Jingwei;1930;1945;1958;FA;Ruthless Powermonger;NA;M52041;X
1250002;Head of Government;Wang Jingwei;1932;1945;1958;FA;Backroom Backstabber;NA;M52041;X
1250003;Head of State;Chen Gongbo;1945;1964;1964;FA;Pig-headed Isolationist;Very High;M_Chen Gongbo;X
1250004;Head of Government;Chen Gongbo;1932;1964;1964;FA;Political Protege;Very High;M_Chen Gongbo;X
1250005;Head of Government;Zhou Fohai;1932;1999;1999;FA;Backroom Backstabber;Very High;8142;X
1250006;Head of Government;Liang Hongzhi;1930;1999;1999;PA;Happy Amateur;Very High;9132;X
1250007;Foreign Minister;Chu Minyi;1930;1999;1999;FA;Ideological Crusader;NA;8143;X
1250008;Foreign Minister;Xu Liang;1939;1942;1942;FA;Great Compromiser;Very High;M_Xu Liang;X
1250009;Foreign Minister;Li Shengwu;1940;1986;1986;FA;Apologetic Clerk;Very High;M_Li Shengwu;X
1250010;Foreign Minister;Lin Bosheng;1940;1999;1999;FA;Happy Amateur;Very High;M_Lin Bosheng;X
1250011;Foreign Minister;Zhou Longxiang;1945;1970;1970;FA;Happy Amateur;Very High;M_Zhou Longxiang;X
1250012;Minister of Armament;Zhao Zunyue;1930;1999;1999;FA;Industrial Chemist;Very High;M_Zhao Zunyue;X
1250013;Minister of Armament;Chen Gongbo;1930;1999;1999;FA;Keynesian Economy;Very High;M_Chen Gongbo;X
1250014;Minister of Security;Chen Qun;1930;1999;1999;FA;Prince of Terror;NA;M_Chen Qun;X
1250015;Minister of Security;Li Shengwu;1930;1986;1986;FA;Silent Lawyer;Very High;M_Li Shengwu;X
1250016;Minister of Security;Mei Siping;1930;1999;1999;FA;Back Stabber;Very High;M_Mei Siping;X
1250017;Minister of Security;Ding Mocun;1930;1999;1999;FA;Secret Police Chief;Very High;M_Ding Mocun;X
1250018;Head of Military Intelligence;Ding Mocun;1930;1999;1999;FA;Political Specialist;Very High;M_Ding Mocun;X
1250019;Head of Military Intelligence;Li Shiqun;1930;1944;1999;FA;Dismal Enigma;NA;M_Li Shiqun;X
1250020;Head of Military Intelligence;Kagesa Sadaaki;1930;1999;1999;FA;Logistics Specialist;Very High;M_Kagesa Sadaaki;X
1250021;Chief of Staff;Yang Kuiyi;1930;1943;1943;FA;School of Defence;Very High;M_Yang Kuiyi;X
1250022;Chief of Staff;Ye Peng;1930;1999;1999;FA;School of Fire Support;Very High;M_Ye Peng;X
1250023;Chief of Staff;Liu Yufen;1930;1944;1944;FA;School of Mass Combat;Very High;L502210;X
1250024;Chief of Staff;Bao Wenyue;1930;1999;1999;FA;School of Defence;NA;9437;X
1250025;Chief of Staff;Hu Yukun;1930;1999;1999;FA;School of Mass Combat;Very High;M_Hu Yukun;X
1250026;Chief of Staff;Qi Xieyuan;1930;1999;1999;PA;School of Mass Combat;Very High;M_Qi Xieyuan;X
1250027;Chief of Army;Bao Wenyue;1930;1999;1999;FA;Guns and Butter Doctrine;NA;9437;X
1250028;Chief of Army;Ye Peng;1930;1999;1999;FA;Static Defence Doctrine;Very High;M_Ye Peng;X
